
Epoch:5900/10000  train loss:9.9872e+00  val loss:3.9190e+01  best epoch:1042  min loss:4.2524e-02  lr:9.753096852e-02  time:16.34s  time total:16.22min  time remain:11.27min
Epoch:6000/10000  train loss:1.6346e+00  val loss:4.4866e+00  best epoch:1042  min loss:4.2524e-02  lr:9.999993838e-02  time:16.24s  time total:16.49min  time remain:10.99min
Epoch:6100/10000  train loss:2.9603e-01  val loss:2.6050e-01  best epoch:1042  min loss:4.2524e-02  lr:9.757946024e-02  time:16.42s  time total:16.76min  time remain:10.72min
Epoch:6200/10000  train loss:7.0989e+00  val loss:1.9132e+01  best epoch:1042  min loss:4.2524e-02  lr:9.050646738e-02  time:16.26s  time total:17.03min  time remain:10.44min
Epoch:6300/10000  train loss:1.8549e+01  val loss:5.8344e+01  best epoch:1042  min loss:4.2524e-02  lr:7.947331361e-02  time:16.58s  time total:17.31min  time remain:10.16min
Epoch:6400/10000  train loss:9.7507e+00  val loss:4.3074e+01  best epoch:1042  min loss:4.2524e-02  lr:6.556000090e-02  time:15.90s  time total:17.57min  time remain:9.88min
Epoch:6500/10000  train loss:1.5933e+00  val loss:1.0739e+01  best epoch:1042  min loss:4.2524e-02  lr:5.012846124e-02  time:16.45s  time total:17.85min  time remain:9.61min
Epoch:6600/10000  train loss:2.4248e+00  val loss:4.1796e+00  best epoch:1042  min loss:4.2524e-02  lr:3.468924125e-02  time:16.36s  time total:18.12min  time remain:9.33min
Epoch:6700/10000  train loss:9.7110e-01  val loss:1.9152e+00  best epoch:1042  min loss:4.2524e-02  lr:2.075363935e-02  time:16.34s  time total:18.39min  time remain:9.06min
Epoch:6800/10000  train loss:5.6294e-01  val loss:1.1311e+00  best epoch:1042  min loss:4.2524e-02  lr:9.685769348e-03  time:16.48s  time total:18.67min  time remain:8.78min
Epoch:6900/10000  train loss:5.4758e-01  val loss:5.0683e-01  best epoch:1042  min loss:4.2524e-02  lr:2.569031476e-03  time:17.03s  time total:18.95min  time remain:8.51min
Epoch:7000/10000  train loss:4.4615e-01  val loss:4.4005e-01  best epoch:1042  min loss:4.2524e-02  lr:1.000616233e-04  time:15.77s  time total:19.21min  time remain:8.23min
Epoch:7100/10000  train loss:6.8667e-01  val loss:6.5437e-01  best epoch:1042  min loss:4.2524e-02  lr:2.520539760e-03  time:16.51s  time total:19.49min  time remain:7.96min
Epoch:7200/10000  train loss:1.2104e+00  val loss:5.1334e+00  best epoch:1042  min loss:4.2524e-02  lr:9.593532623e-03  time:16.33s  time total:19.76min  time remain:7.68min
Epoch:7300/10000  train loss:1.2901e+00  val loss:5.0423e+00  best epoch:1042  min loss:4.2524e-02  lr:2.062668639e-02  time:16.26s  time total:20.03min  time remain:7.41min
Epoch:7400/10000  train loss:1.6754e+00  val loss:3.4872e+00  best epoch:1042  min loss:4.2524e-02  lr:3.453999910e-02  time:17.01s  time total:20.31min  time remain:7.14min
Epoch:7500/10000  train loss:4.2967e+00  val loss:1.5268e+01  best epoch:1042  min loss:4.2524e-02  lr:4.997153876e-02  time:16.42s  time total:20.59min  time remain:6.86min
Epoch:7600/10000  train loss:7.2149e-01  val loss:2.9869e+00  best epoch:1042  min loss:4.2524e-02  lr:6.541075875e-02  time:15.89s  time total:20.85min  time remain:6.59min
Epoch:7700/10000  train loss:1.8151e+01  val loss:3.4672e+01  best epoch:1042  min loss:4.2524e-02  lr:7.934636065e-02  time:16.31s  time total:21.12min  time remain:6.31min
Epoch:7800/10000  train loss:1.2525e+00  val loss:2.9023e+00  best epoch:1042  min loss:4.2524e-02  lr:9.041423065e-02  time:16.47s  time total:21.40min  time remain:6.04min
Epoch:7900/10000  train loss:6.4210e-01  val loss:1.5824e+00  best epoch:1042  min loss:4.2524e-02  lr:9.753096852e-02  time:16.83s  time total:21.68min  time remain:5.76min
Epoch:8000/10000  train loss:6.5775e-01  val loss:1.1566e+01  best epoch:1042  min loss:4.2524e-02  lr:9.999993838e-02  time:16.80s  time total:21.96min  time remain:5.49min
Epoch:8100/10000  train loss:3.0960e+00  val loss:1.8634e+01  best epoch:1042  min loss:4.2524e-02  lr:9.757946024e-02  time:16.44s  time total:22.23min  time remain:5.22min
Epoch:8200/10000  train loss:9.9572e+00  val loss:1.5887e+01  best epoch:1042  min loss:4.2524e-02  lr:9.050646738e-02  time:15.89s  time total:22.50min  time remain:4.94min
Epoch:8300/10000  train loss:5.9196e-01  val loss:2.9589e+00  best epoch:1042  min loss:4.2524e-02  lr:7.947331361e-02  time:16.39s  time total:22.77min  time remain:4.66min
Epoch:8400/10000  train loss:1.0395e+00  val loss:5.3042e-01  best epoch:1042  min loss:4.2524e-02  lr:6.556000090e-02  time:16.33s  time total:23.04min  time remain:4.39min
Epoch:8500/10000  train loss:4.7567e+00  val loss:1.7310e+00  best epoch:1042  min loss:4.2524e-02  lr:5.012846124e-02  time:16.88s  time total:23.33min  time remain:4.12min
Epoch:8600/10000  train loss:4.3323e-01  val loss:4.6050e-01  best epoch:1042  min loss:4.2524e-02  lr:3.468924125e-02  time:16.19s  time total:23.59min  time remain:3.84min
Epoch:8700/10000  train loss:3.9928e-01  val loss:4.0887e-01  best epoch:1042  min loss:4.2524e-02  lr:2.075363935e-02  time:16.36s  time total:23.87min  time remain:3.57min
Epoch:8800/10000  train loss:2.8489e-01  val loss:3.0054e-01  best epoch:1042  min loss:4.2524e-02  lr:9.685769348e-03  time:15.66s  time total:24.13min  time remain:3.29min
Epoch:8900/10000  train loss:2.6130e-01  val loss:2.6586e-01  best epoch:1042  min loss:4.2524e-02  lr:2.569031476e-03  time:16.32s  time total:24.40min  time remain:3.02min
Epoch:9000/10000  train loss:2.5236e-01  val loss:2.5590e-01  best epoch:1042  min loss:4.2524e-02  lr:1.000616233e-04  time:16.85s  time total:24.68min  time remain:2.74min
Epoch:9100/10000  train loss:2.6846e-01  val loss:2.5853e-01  best epoch:1042  min loss:4.2524e-02  lr:2.520539760e-03  time:16.73s  time total:24.96min  time remain:2.47min
Epoch:9200/10000  train loss:6.7966e-01  val loss:4.3918e-01  best epoch:1042  min loss:4.2524e-02  lr:9.593532623e-03  time:16.38s  time total:25.23min  time remain:2.19min
Epoch:9300/10000  train loss:4.7415e-01  val loss:5.6238e-01  best epoch:1042  min loss:4.2524e-02  lr:2.062668639e-02  time:17.08s  time total:25.52min  time remain:1.92min
Epoch:9400/10000  train loss:3.8084e-01  val loss:5.1518e-01  best epoch:1042  min loss:4.2524e-02  lr:3.453999910e-02  time:16.38s  time total:25.79min  time remain:1.65min
Epoch:9500/10000  train loss:4.1469e-01  val loss:5.6626e-01  best epoch:1042  min loss:4.2524e-02  lr:4.997153876e-02  time:16.68s  time total:26.07min  time remain:1.37min
Epoch:9600/10000  train loss:8.6697e-01  val loss:3.4057e+00  best epoch:1042  min loss:4.2524e-02  lr:6.541075875e-02  time:16.14s  time total:26.34min  time remain:1.10min
Epoch:9700/10000  train loss:9.5883e-01  val loss:1.6440e+00  best epoch:1042  min loss:4.2524e-02  lr:7.934636065e-02  time:15.45s  time total:26.60min  time remain:0.82min
Epoch:9800/10000  train loss:9.2824e-01  val loss:3.2876e+00  best epoch:1042  min loss:4.2524e-02  lr:9.041423065e-02  time:15.15s  time total:26.85min  time remain:0.55min
Epoch:9900/10000  train loss:7.2754e-01  val loss:2.8818e+00  best epoch:1042  min loss:4.2524e-02  lr:9.753096852e-02  time:14.65s  time total:27.09min  time remain:0.27min
Epoch:10000/10000  train loss:8.0979e-01  val loss:7.1828e-01  best epoch:1042  min loss:4.2524e-02  lr:9.999993838e-02  time:14.09s  time total:27.33min  time remain:0.00min
