
Epoch:5100/10000  train loss:4.8876e-01  val loss:1.1384e+00  best epoch:988  min loss:4.2734e-02  lr:2.520539760e-03  time:16.35s  time total:13.99min  time remain:13.44min
Epoch:5200/10000  train loss:6.7528e-01  val loss:1.7836e+01  best epoch:988  min loss:4.2734e-02  lr:9.593532623e-03  time:16.24s  time total:14.26min  time remain:13.16min
Epoch:5300/10000  train loss:8.4750e-01  val loss:1.9541e+01  best epoch:988  min loss:4.2734e-02  lr:2.062668639e-02  time:16.31s  time total:14.53min  time remain:12.89min
Epoch:5400/10000  train loss:1.9442e+00  val loss:9.5718e+01  best epoch:988  min loss:4.2734e-02  lr:3.453999910e-02  time:16.33s  time total:14.80min  time remain:12.61min
Epoch:5500/10000  train loss:6.4544e-01  val loss:2.5599e+00  best epoch:988  min loss:4.2734e-02  lr:4.997153876e-02  time:16.31s  time total:15.07min  time remain:12.33min
Epoch:5600/10000  train loss:2.4944e+00  val loss:3.8828e+01  best epoch:988  min loss:4.2734e-02  lr:6.541075875e-02  time:16.21s  time total:15.34min  time remain:12.06min
Epoch:5700/10000  train loss:5.6742e+00  val loss:2.6259e+01  best epoch:988  min loss:4.2734e-02  lr:7.934636065e-02  time:16.49s  time total:15.62min  time remain:11.78min
Epoch:5800/10000  train loss:2.7750e+00  val loss:6.7437e+01  best epoch:988  min loss:4.2734e-02  lr:9.041423065e-02  time:16.52s  time total:15.89min  time remain:11.51min
Epoch:5900/10000  train loss:1.6388e+00  val loss:5.0205e+01  best epoch:988  min loss:4.2734e-02  lr:9.753096852e-02  time:17.03s  time total:16.18min  time remain:11.24min
Epoch:6000/10000  train loss:1.1075e+01  val loss:5.4248e+00  best epoch:988  min loss:4.2734e-02  lr:9.999993838e-02  time:15.94s  time total:16.44min  time remain:10.96min
Epoch:6100/10000  train loss:1.6409e+00  val loss:3.6158e+00  best epoch:988  min loss:4.2734e-02  lr:9.757946024e-02  time:16.37s  time total:16.72min  time remain:10.69min
Epoch:6200/10000  train loss:1.6780e+00  val loss:2.3657e+02  best epoch:988  min loss:4.2734e-02  lr:9.050646738e-02  time:16.45s  time total:16.99min  time remain:10.41min
Epoch:6300/10000  train loss:2.3616e+00  val loss:9.5502e+00  best epoch:988  min loss:4.2734e-02  lr:7.947331361e-02  time:16.48s  time total:17.27min  time remain:10.14min
Epoch:6400/10000  train loss:7.1266e-01  val loss:6.9734e-01  best epoch:988  min loss:4.2734e-02  lr:6.556000090e-02  time:16.70s  time total:17.54min  time remain:9.87min
Epoch:6500/10000  train loss:1.1196e+00  val loss:8.9622e-01  best epoch:988  min loss:4.2734e-02  lr:5.012846124e-02  time:16.49s  time total:17.82min  time remain:9.59min
Epoch:6600/10000  train loss:9.3413e-01  val loss:5.2727e-01  best epoch:988  min loss:4.2734e-02  lr:3.468924125e-02  time:15.58s  time total:18.08min  time remain:9.31min
Epoch:6700/10000  train loss:4.4102e-01  val loss:6.9235e-01  best epoch:988  min loss:4.2734e-02  lr:2.075363935e-02  time:16.46s  time total:18.35min  time remain:9.04min
Epoch:6800/10000  train loss:3.8643e-01  val loss:4.1631e-01  best epoch:988  min loss:4.2734e-02  lr:9.685769348e-03  time:16.27s  time total:18.62min  time remain:8.76min
Epoch:6900/10000  train loss:3.5865e-01  val loss:3.5865e-01  best epoch:988  min loss:4.2734e-02  lr:2.569031476e-03  time:16.47s  time total:18.90min  time remain:8.49min
Epoch:7000/10000  train loss:3.4137e-01  val loss:3.4451e-01  best epoch:988  min loss:4.2734e-02  lr:1.000616233e-04  time:16.77s  time total:19.18min  time remain:8.22min
Epoch:7100/10000  train loss:3.4534e-01  val loss:3.6778e-01  best epoch:988  min loss:4.2734e-02  lr:2.520539760e-03  time:16.51s  time total:19.45min  time remain:7.95min
Epoch:7200/10000  train loss:6.0223e-01  val loss:6.3058e-01  best epoch:988  min loss:4.2734e-02  lr:9.593532623e-03  time:15.70s  time total:19.71min  time remain:7.67min
Epoch:7300/10000  train loss:1.3388e+00  val loss:2.4507e+00  best epoch:988  min loss:4.2734e-02  lr:2.062668639e-02  time:16.39s  time total:19.99min  time remain:7.39min
Epoch:7400/10000  train loss:4.2023e-01  val loss:5.7127e-01  best epoch:988  min loss:4.2734e-02  lr:3.453999910e-02  time:16.40s  time total:20.26min  time remain:7.12min
