
Epoch:4800/10000  train loss:5.5421e-01  val loss:4.7009e+01  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.41s  time total:12.58min  time remain:13.63min
Epoch:4900/10000  train loss:7.0298e-01  val loss:3.1621e+00  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:8.84s  time total:12.73min  time remain:13.25min
Epoch:5000/10000  train loss:6.5788e-01  val loss:2.5151e+01  best epoch:510  min loss:9.4556e-03  lr:9.999975351e-02  time:8.87s  time total:12.87min  time remain:12.87min
Epoch:5100/10000  train loss:2.3287e-01  val loss:3.6029e+00  best epoch:510  min loss:9.4556e-03  lr:9.055243606e-02  time:9.06s  time total:13.03min  time remain:12.51min
Epoch:5200/10000  train loss:4.7540e-01  val loss:3.0109e+00  best epoch:510  min loss:9.4556e-03  lr:6.563456467e-02  time:9.62s  time total:13.19min  time remain:12.17min
Epoch:5300/10000  train loss:2.8698e-01  val loss:2.1628e+00  best epoch:510  min loss:9.4556e-03  lr:3.476391927e-02  time:12.91s  time total:13.40min  time remain:11.88min
Epoch:5400/10000  train loss:2.0674e-01  val loss:1.3017e+00  best epoch:510  min loss:9.4556e-03  lr:9.732037159e-03  time:15.76s  time total:13.66min  time remain:11.64min
Epoch:5500/10000  train loss:7.6894e-02  val loss:5.5055e-02  best epoch:510  min loss:9.4556e-03  lr:1.002464932e-04  time:16.66s  time total:13.94min  time remain:11.41min
Epoch:5600/10000  train loss:2.2523e-01  val loss:2.1365e-01  best epoch:510  min loss:9.4556e-03  lr:9.547563937e-03  time:16.76s  time total:14.22min  time remain:11.17min
Epoch:5700/10000  train loss:7.3387e-01  val loss:6.3178e+00  best epoch:510  min loss:9.4556e-03  lr:3.446543533e-02  time:16.44s  time total:14.49min  time remain:10.93min
Epoch:5800/10000  train loss:3.9375e-01  val loss:1.5039e+01  best epoch:510  min loss:9.4556e-03  lr:6.533608073e-02  time:16.36s  time total:14.77min  time remain:10.69min
Epoch:5900/10000  train loss:6.1021e-01  val loss:5.9775e+00  best epoch:510  min loss:9.4556e-03  lr:9.036796284e-02  time:16.59s  time total:15.04min  time remain:10.45min
